Begin Date, End Date, Hits, Pages
20160101,20160107,1,1
20160108,20160114,0,0
20160115,20160121,4,1
20160122,20160128,1,1
20160129,20160131,1,1
20160201,20160207,8,1
20160208,20160214,7,1
20160215,20160221,3,1
20160222,20160228,6,1
20160229,20160229,1,1
20160301,20160307,0,0
20150101,20150107,0,0
20150108,20150114,3,1
20150115,20150121,5,1
20150122,20150128,3,1
20150129,20150131,2,1
20150201,20150207,8,1
20150208,20150214,2,1
20150215,20150221,4,1
20150222,20150228,4,1
20150229,20150229,1,1
20150301,20150307,4,1
20150308,20150314,3,1
20150315,20150321,3,1
20150322,20150328,4,1
20150329,20150331,3,1
20150401,20150407,2,1
20150408,20150414,4,1
20150415,20150421,3,1
20150422,20150428,2,1
20150429,20150430,0,0
20150501,20150507,3,1
20150508,20150514,5,1
20150515,20150521,3,1
20150522,20150528,4,1
20150529,20150531,2,1
20150601,20150607,12,2
20150608,20150614,4,1
20150615,20150621,5,1
20150622,20150628,6,1
20150629,20150630,3,1
20150701,20150707,5,1
20150708,20150714,6,1
20150715,20150721,5,1
20150722,20150728,8,1
20150729,20150731,2,1
20150801,20150807,3,1
20150808,20150814,0,0
20150815,20150821,7,1
20150822,20150828,3,1
20150829,20150831,6,1
20150901,20150907,5,1
20150908,20150914,5,1
20150915,20150921,3,1
20150922,20150928,5,1
20150929,20150930,2,1
20151001,20151007,9,1
20151008,20151014,5,1
20151015,20151021,9,1
20151022,20151028,8,1
20151029,20151031,3,1
20151101,20151107,7,1
20151108,20151114,6,1
20151115,20151121,4,1
20151122,20151128,4,1
20151129,20151130,2,1
20151201,20151207,5,1
20151208,20151214,9,1
20151215,20151221,5,1
20151222,20151228,2,1
20151229,20151231,1,1
20140101,20140107,11,2
20140108,20140114,5,1
20140115,20140121,1,1
20140122,20140128,6,1
20140129,20140131,3,1
20140201,20140207,4,1
20140208,20140214,7,1
20140215,20140221,3,1
20140222,20140228,4,1
20140229,20140229,0,0
20140301,20140307,5,1
20140308,20140314,6,1
20140315,20140321,4,1
20140322,20140328,7,1
20140329,20140331,4,1
20140401,20140407,10,1
20140408,20140414,5,1
20140415,20140421,3,1
20140422,20140428,5,1
20140429,20140430,4,1
20140501,20140507,3,1
20140508,20140514,4,1
20140515,20140521,11,2
20140522,20140528,8,1
20140529,20140531,2,1
20140601,20140607,10,1
20140608,20140614,2,1
20140615,20140621,7,1
20140622,20140628,1,1
20140629,20140630,5,1
20140701,20140707,7,1
20140708,20140714,3,1
20140715,20140721,6,1
20140722,20140728,2,1
20140729,20140731,2,1
20140801,20140807,3,1
20140808,20140814,12,2
20140815,20140821,6,1
20140822,20140828,6,1
20140829,20140831,4,1
20140901,20140907,7,1
20140908,20140914,3,1
20140915,20140921,4,1
20140922,20140928,8,1
20140929,20140930,0,0
20141001,20141007,9,1
20141008,20141014,6,1
20141015,20141021,4,1
20141022,20141028,8,1
20141029,20141031,2,1
20141101,20141107,5,1
20141108,20141114,3,1
20141115,20141121,7,1
20141122,20141128,3,1
20141129,20141130,2,1
20141201,20141207,6,1
20141208,20141214,4,1
20141215,20141221,5,1
20141222,20141228,4,1
20141229,20141231,2,1
20130101,20130107,4,1
20130108,20130114,6,1
20130115,20130121,3,1
20130122,20130128,1,1
20130129,20130131,1,1
20130201,20130207,1,1
20130208,20130214,3,1
20130215,20130221,5,1
20130222,20130228,2,1
20130229,20130229,1,1
20130301,20130307,4,1
20130308,20130314,4,1
20130315,20130321,4,1
20130322,20130328,3,1
20130329,20130331,0,0
20130401,20130407,2,1
20130408,20130414,5,1
20130415,20130421,6,1
20130422,20130428,2,1
20130429,20130430,2,1
20130501,20130507,7,1
20130508,20130514,3,1
20130515,20130521,3,1
20130522,20130528,3,1
20130529,20130531,2,1
20130601,20130607,4,1
20130608,20130614,1,1
20130615,20130621,3,1
20130622,20130628,4,1
20130629,20130630,1,1
20130701,20130707,2,1
20130708,20130714,2,1
20130715,20130721,4,1
20130722,20130728,3,1
20130729,20130731,1,1
20130801,20130807,2,1
20130808,20130814,0,0
20130815,20130821,2,1
20130822,20130828,1,1
20130829,20130831,0,0
20130901,20130907,2,1
20130908,20130914,2,1
20130915,20130921,5,1
20130922,20130928,1,1
20130929,20130930,0,0
20131001,20131007,4,1
20131008,20131014,4,1
20131015,20131021,6,1
20131022,20131028,4,1
20131029,20131031,4,1
20131101,20131107,7,1
20131108,20131114,4,1
20131115,20131121,6,1
20131122,20131128,7,1
20131129,20131130,1,1
20131201,20131207,5,1
20131208,20131214,2,1
20131215,20131221,4,1
20131222,20131228,2,1
20131229,20131231,0,0
20120101,20120107,9,1
20120108,20120114,4,1
20120115,20120121,3,1
20120122,20120128,8,1
20120129,20120131,2,1
20120201,20120207,6,1
20120208,20120214,4,1
20120215,20120221,3,1
20120222,20120228,5,1
20120229,20120229,0,0
20120301,20120307,3,1
20120308,20120314,8,1
20120315,20120321,3,1
20120322,20120328,8,1
20120329,20120331,1,1
20120401,20120407,5,1
20120408,20120414,6,1
20120415,20120421,7,1
20120422,20120428,4,1
20120429,20120430,3,1
20120501,20120507,2,1
20120508,20120514,4,1
20120515,20120521,3,1
20120522,20120528,4,1
20120529,20120531,3,1
20120601,20120607,4,1
20120608,20120614,7,1
20120615,20120621,1,1
20120622,20120628,6,1
20120629,20120630,1,1
20120701,20120707,3,1
20120708,20120714,4,1
20120715,20120721,2,1
20120722,20120728,1,1
20120729,20120731,0,0
20120801,20120807,3,1
20120808,20120814,1,1
20120815,20120821,4,1
